,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,salary,age_log,fnlwgt_log,capital_loss_log,hours_per_week_bins,native_country
2846,2,4,14.0,1,3,0,1,1,7688,1,3.8066624897703196,11.984009760086206,0.0,3,1
2847,3,3,9.0,2,7,1,1,1,0,0,3.295836866004329,12.68198379099037,0.0,2,1
2849,6,3,9.0,1,4,0,1,1,0,1,4.007333185232471,12.040502005473321,0.0,2,1
2850,5,7,3.0,1,12,0,1,1,0,1,3.58351893845611,12.702188610789195,0.0,3,0
2851,4,5,10.0,1,1,5,1,0,0,1,3.4339872044851463,12.373344014277752,0.0,1,1
2852,2,7,5.0,2,7,3,1,1,0,0,3.5263605246161616,12.624345384657312,0.0,2,1
2853,3,3,9.0,1,8,0,1,1,0,1,3.912023005428146,11.954876781648803,0.0,2,1
2854,5,3,9.0,2,7,4,1,1,0,0,3.4657359027997265,12.115551480068987,0.0,4,1
2855,3,1,11.0,1,2,0,1,1,0,0,3.5553480614894135,11.267625769009308,0.0,3,1
2856,3,5,10.0,2,7,3,1,0,0,0,2.9444389791664403,12.18026753934822,0.0,2,1
2857,0,1,11.0,0,0,1,1,0,0,0,3.4965075614664802,11.987767370856213,0.0,2,2
2858,3,7,1.0,2,6,1,1,1,0,0,4.219507705176107,12.036434315488558,0.0,0,1
2859,3,4,14.0,2,3,3,1,1,0,0,2.995732273553991,12.155973374854613,0.0,1,1
2860,3,3,9.0,2,7,1,1,1,0,0,3.4011973816621555,11.948512323630915,0.0,2,2
2861,6,7,1.0,2,7,1,1,1,0,0,3.4339872044851463,11.259760754544008,0.0,1,1
2862,3,7,4.0,3,6,1,1,1,0,0,4.0943445622221,10.493410822160769,0.0,2,1
2863,3,5,10.0,1,2,0,1,1,0,1,3.8066624897703196,12.141966031107469,0.0,2,1
2864,3,7,6.0,3,10,4,0,0,0,0,3.044522437723423,12.776000792130981,0.0,2,1
2865,3,3,9.0,1,5,0,1,1,0,0,3.4965075614664802,12.78815976550697,0.0,2,2
2867,6,2,13.0,2,8,3,0,0,0,0,3.295836866004329,11.717171579179976,0.0,2,1
2868,5,7,6.0,0,3,3,1,1,0,1,4.04305126783455,12.157690897947331,0.0,4,1
2869,0,5,10.0,2,0,1,1,0,0,0,2.995732273553991,12.755179117838118,0.0,2,1
2870,3,2,13.0,1,10,0,1,1,0,1,4.248495242049359,11.458384798309035,0.0,4,1
2871,3,1,11.0,2,1,1,1,0,0,0,3.4339872044851463,11.441493908019915,0.0,2,1
2872,3,3,9.0,3,6,3,2,1,0,0,3.332204510175204,12.386471521824669,0.0,2,2
2873,4,2,13.0,1,3,0,1,1,0,1,4.418840607796598,11.939388564074,7.780303087908373,3,1
2874,3,3,9.0,1,8,0,1,1,0,1,3.5263605246161616,12.739285788173794,0.0,4,2
2875,0,3,9.0,3,0,4,1,0,0,0,4.174387269895637,12.698186287030413,0.0,2,1
2876,3,3,9.0,3,1,1,1,0,0,0,4.23410650459726,11.541260217397497,0.0,1,1
2877,3,2,13.0,1,3,0,1,1,15024,1,3.828641396489095,12.794125941549723,0.0,4,1
2878,1,2,13.0,2,8,1,1,0,0,0,3.332204510175204,12.549165772745502,0.0,2,1
2879,0,3,9.0,2,0,3,1,1,0,0,2.995732273553991,12.757921203626664,0.0,2,1
2880,2,2,13.0,1,8,0,1,1,0,1,3.367295829986474,12.157538698534317,7.522400231387125,4,2
2881,3,2,13.0,2,3,1,1,0,13550,1,3.4339872044851463,11.971375103186903,0.0,3,1
2882,0,5,10.0,0,0,1,2,0,0,0,3.8501476017100584,11.405407067203026,0.0,2,1
2884,3,5,10.0,2,5,1,0,1,0,0,3.2188758248682006,12.292874000466716,0.0,2,2
2885,3,7,1.0,2,6,1,0,1,0,0,3.58351893845611,12.438100613277912,0.0,2,2
2886,3,6,16.0,1,8,0,1,1,0,1,3.9889840465642745,11.388246204926002,7.589841512182657,3,1
2887,5,2,13.0,3,8,1,1,0,0,1,4.07753744390572,12.144213199131578,0.0,3,1
2888,3,3,9.0,1,3,0,1,1,0,0,3.4011973816621555,11.878012924266404,0.0,4,1
2889,3,1,11.0,0,12,1,1,1,0,0,3.784189633918261,10.692081267240086,0.0,2,1
2890,3,3,9.0,1,2,0,1,1,0,0,3.091042453358316,11.826034027000242,0.0,2,1
2892,3,2,13.0,0,3,1,1,0,0,1,4.04305126783455,12.266452531518885,0.0,3,1
2893,3,2,13.0,1,7,0,1,1,0,0,3.8918202981106265,12.085096391975872,0.0,2,1
2894,1,4,14.0,1,10,0,1,1,15024,1,4.04305126783455,12.960223199700447,0.0,2,1
2895,0,7,7.0,2,0,3,1,0,0,0,2.833213344056216,12.141742102763603,0.0,0,1
2896,3,3,9.0,0,10,1,1,0,0,0,3.4339872044851463,12.291346263490817,0.0,2,1
2897,3,3,9.0,1,12,0,1,1,0,1,3.258096538021482,11.372191049896736,0.0,2,1
2898,2,7,3.0,2,7,4,2,0,0,0,3.4965075614664802,12.504709494705477,0.0,2,2
2899,0,3,9.0,0,0,4,1,0,0,0,3.4965075614664802,12.2178332180948,0.0,2,1
2900,3,3,9.0,1,12,0,1,1,0,0,4.290459441148391,12.418579830722825,0.0,1,2
2901,3,0,12.0,1,2,0,1,1,0,0,3.5553480614894135,10.433380239019344,0.0,2,1
2902,5,3,9.0,1,4,0,1,1,2829,0,3.8501476017100584,12.37889506133617,0.0,4,1
2903,3,3,9.0,1,1,5,1,0,0,0,3.6109179126442243,11.749640505594515,0.0,4,1
2904,3,5,10.0,0,2,1,1,1,0,0,3.871201010907891,12.169299734064417,0.0,2,1
2905,3,3,9.0,2,2,1,1,1,0,0,3.6109179126442243,11.545615282792886,0.0,2,1
2906,4,6,15.0,1,8,0,1,1,0,1,4.060443010546419,12.76543125754156,7.589841512182657,3,1
2907,2,3,9.0,2,2,1,1,1,0,0,3.6375861597263857,12.706787325545436,7.537430036586509,2,2
2908,3,3,9.0,0,7,1,0,0,0,0,4.110873864173311,11.861784947599272,0.0,2,1
2909,4,5,10.0,1,4,0,1,1,0,0,3.8918202981106265,10.463046195981693,0.0,4,1
2910,1,1,11.0,0,2,1,1,1,0,0,3.7612001156935624,11.4379324859288,0.0,2,1
2911,6,5,10.0,2,7,3,1,0,0,0,2.995732273553991,10.623836390521218,0.0,1,1
2912,3,3,9.0,2,1,4,0,0,0,0,3.091042453358316,12.645552632225616,0.0,2,1
2913,3,5,10.0,1,3,0,1,1,0,0,3.9512437185814275,12.017819531782783,0.0,2,1
2914,3,5,10.0,2,10,3,1,1,0,0,2.9444389791664403,12.058627764823518,0.0,2,1
2915,3,3,9.0,1,2,0,1,1,0,1,3.7612001156935624,12.492468891661497,7.551186867296149,6,1
2916,0,3,9.0,2,0,3,1,0,0,0,3.258096538021482,11.604264132385616,0.0,2,1
2917,2,5,10.0,0,1,4,1,0,0,0,3.9889840465642745,11.832672904341793,0.0,2,1
2918,3,2,13.0,2,8,3,0,1,0,0,3.4011973816621555,12.095766587479332,0.0,2,2
2919,3,0,12.0,2,12,1,0,1,0,0,3.5553480614894135,12.569527553481274,0.0,2,2
2920,4,6,15.0,1,8,0,1,1,0,1,3.8066624897703196,12.648290680721077,7.303843225277704,3,1
2921,3,5,10.0,2,7,3,1,0,0,0,3.1354942159291497,12.257117409036482,0.0,1,1
2922,6,2,13.0,1,8,5,1,0,0,1,3.5263605246161616,12.284343014307822,0.0,3,1
2923,5,5,10.0,0,10,4,1,0,0,0,3.9318256327243257,12.293675930640957,0.0,3,1
2924,3,3,9.0,2,2,3,1,1,0,0,3.1780538303479458,12.214437561861802,0.0,2,1
2925,3,2,13.0,1,1,5,1,0,0,0,3.4339872044851463,12.365210866868471,0.0,2,1
2926,6,4,14.0,1,8,0,1,1,0,1,3.6888794541139363,12.147876634749121,0.0,2,1
2927,3,4,14.0,1,8,0,1,1,0,1,3.58351893845611,12.17012935575268,7.589841512182657,4,1
2928,3,3,9.0,0,2,1,1,1,0,0,3.258096538021482,12.262434075195923,0.0,2,1
2929,3,1,11.0,2,7,3,1,1,0,0,3.1354942159291497,12.771974349917718,0.0,1,1
2930,3,2,13.0,1,3,0,1,1,15024,1,4.0943445622221,11.451018145849233,0.0,3,1
2931,3,5,10.0,2,10,3,0,1,0,0,2.995732273553991,12.115387254883045,0.0,1,1
2932,3,3,9.0,2,5,1,1,1,0,0,3.1780538303479458,12.113639323599088,0.0,2,1
2933,3,3,9.0,2,6,3,1,1,0,0,3.5263605246161616,12.24698903559503,0.0,2,1
2934,3,7,4.0,1,2,0,1,1,0,0,3.912023005428146,12.62911241065485,0.0,2,1
2935,3,1,11.0,1,10,0,1,1,0,1,3.58351893845611,12.381768131657072,0.0,3,1
2936,3,5,10.0,3,10,2,1,0,0,0,4.174387269895637,11.871822937262058,0.0,3,1
2937,0,0,12.0,3,0,1,1,0,0,0,4.30406509320417,12.516006549409916,0.0,1,1
2938,3,6,15.0,1,3,0,1,1,99999,1,3.8501476017100584,12.594435676571663,0.0,2,1
2939,3,3,9.0,1,6,0,1,1,0,0,4.110873864173311,11.766256746922643,0.0,2,1
2940,3,7,7.0,1,9,0,1,1,4386,1,4.143134726391533,12.105760476610444,0.0,2,1
2941,3,3,9.0,1,3,0,1,1,0,0,3.332204510175204,11.878005982882918,0.0,2,1
2942,2,2,13.0,2,7,1,1,1,0,0,3.5263605246161616,12.121608929585333,0.0,0,1
2943,3,2,13.0,1,8,0,1,1,7688,1,3.970291913552122,11.91694953528199,0.0,2,1
2944,3,7,3.0,0,7,4,1,0,0,0,3.713572066704308,12.018525458884401,0.0,2,2
2945,3,2,13.0,2,1,3,1,0,0,0,3.258096538021482,12.020050249069204,0.0,2,1
2946,3,5,10.0,2,1,3,1,0,2174,0,3.6635616461296463,11.656315600095418,0.0,3,1
2947,3,5,10.0,1,11,0,1,1,0,0,3.8501476017100584,11.703041565230096,0.0,3,1
2948,3,5,10.0,2,3,3,1,0,0,0,2.9444389791664403,12.24772309678536,0.0,1,1
2949,3,2,13.0,1,10,0,1,1,0,1,3.6375861597263857,11.285008036817057,0.0,2,1
2950,3,3,9.0,2,7,3,1,0,0,0,2.995732273553991,12.687180024344308,0.0,1,1
2951,3,7,3.0,2,5,2,1,1,0,0,3.295836866004329,11.918557225857715,0.0,2,2
2952,3,3,9.0,2,5,3,1,0,0,0,3.091042453358316,11.509890865226398,0.0,2,1
2953,3,3,9.0,0,12,1,1,1,0,0,3.7376696182833684,11.877582467350578,0.0,3,1
2954,3,5,10.0,3,1,2,1,0,0,0,4.110873864173311,12.223150977064925,0.0,2,1
2955,3,5,10.0,2,10,3,1,0,0,0,3.1780538303479458,12.119479362945079,0.0,1,1
2956,2,4,14.0,0,8,1,1,0,0,0,3.6635616461296463,12.088009570666472,0.0,2,1
2957,3,5,10.0,1,2,0,1,1,0,0,3.8918202981106265,11.893195834443837,0.0,2,1
2958,2,2,13.0,3,8,4,1,0,0,0,3.7612001156935624,11.580415874993683,0.0,2,1
2959,3,5,10.0,2,1,3,0,0,0,0,3.784189633918261,12.5722181022575,0.0,2,1
2960,3,3,9.0,1,5,0,1,1,0,0,3.6635616461296463,12.213097910466926,0.0,2,1
2962,3,5,10.0,2,10,1,1,0,0,0,3.6888794541139363,12.91058746891368,0.0,3,1
2963,5,7,4.0,1,4,0,1,1,0,0,4.007333185232471,12.15442665737454,0.0,3,1
2964,3,3,9.0,2,5,1,1,1,0,0,2.995732273553991,12.396490505298273,0.0,3,1
2965,5,3,9.0,2,10,1,0,1,0,0,3.4339872044851463,12.251108150733598,0.0,2,2
2966,3,3,9.0,1,2,0,1,1,0,0,3.6109179126442243,11.74938003034411,0.0,2,1
2967,5,2,13.0,1,2,0,1,1,0,0,3.332204510175204,12.145674872981498,0.0,3,1
2968,2,3,9.0,1,9,0,1,1,3103,1,3.258096538021482,12.3986085247311,0.0,2,1
2969,3,2,13.0,2,1,3,1,1,0,0,3.1780538303479458,12.239802349107483,0.0,2,1
2970,3,2,13.0,2,10,3,1,0,0,0,3.1354942159291497,12.175350516886787,0.0,4,1
2971,3,5,10.0,0,7,1,1,0,0,0,3.5263605246161616,12.429008175209384,0.0,2,1
2972,3,3,9.0,3,6,4,1,1,0,0,3.6888794541139363,11.956116579971038,0.0,2,1
2973,3,7,4.0,3,6,1,1,0,0,0,4.219507705176107,11.73355385591877,0.0,0,1
2974,3,7,4.0,1,5,0,1,1,1797,0,4.356708826689592,12.126807552102962,0.0,0,1
2975,3,3,9.0,2,3,3,0,1,0,0,3.1354942159291497,12.426320006932283,0.0,5,1
2976,3,0,12.0,2,1,1,1,0,0,0,3.8501476017100584,11.9791030341741,0.0,2,1
2977,3,2,13.0,0,1,4,1,1,0,0,3.7376696182833684,12.148485904677187,0.0,2,1
2978,3,5,10.0,1,10,0,1,1,0,0,4.02535169073515,12.458988568511364,0.0,2,1
2979,3,7,4.0,1,12,0,0,1,10566,0,4.204692619390966,12.458996333812891,0.0,2,1
2980,5,3,9.0,1,2,0,1,1,0,0,4.127134385045092,12.192749282394253,7.462214939768189,2,1
2981,3,5,10.0,2,6,1,1,1,0,0,3.1354942159291497,12.262821531080414,0.0,2,1
2982,3,2,13.0,1,3,0,1,1,0,1,3.5263605246161616,12.268018746749133,0.0,2,1
2983,3,6,16.0,1,3,0,1,1,15024,1,3.828641396489095,12.146248328384509,0.0,4,1
2984,3,5,10.0,2,1,3,1,1,0,0,2.9444389791664403,11.882763395435243,0.0,1,1
2985,3,5,10.0,2,1,1,1,0,0,0,3.1354942159291497,11.244156735629744,0.0,2,1
2986,4,5,10.0,1,10,0,1,1,0,1,3.784189633918261,12.895395020839203,0.0,4,1
2987,4,5,10.0,1,10,0,1,1,10566,0,4.248495242049359,12.847450102438694,0.0,2,1
2988,3,2,13.0,1,1,0,1,1,0,1,3.6888794541139363,12.31616843207551,0.0,3,1
2989,3,3,9.0,3,5,1,2,1,0,0,3.332204510175204,12.35855765318115,0.0,2,1
2990,3,7,7.0,1,2,0,1,1,0,0,3.58351893845611,11.97409014554876,0.0,3,1
2991,3,2,13.0,1,12,0,1,1,15024,1,3.784189633918261,12.110453417975512,0.0,3,1
2992,2,7,8.0,1,1,5,1,0,0,0,3.4011973816621555,10.790184681563204,0.0,2,1
2993,3,5,10.0,3,10,1,1,1,0,1,4.2626798770413155,12.003864657928624,0.0,2,1
2994,3,7,7.0,2,5,3,1,1,0,0,2.833213344056216,12.352071618866399,0.0,2,1
2996,2,4,14.0,3,8,4,0,0,0,0,3.970291913552122,11.829559359371776,7.420578905410801,2,1
2997,4,5,10.0,1,3,0,1,1,7688,1,3.784189633918261,10.944664918551016,0.0,3,1
2998,0,3,9.0,2,0,1,1,0,0,0,3.044522437723423,11.564682651743066,0.0,1,1
2999,3,4,14.0,1,8,0,2,1,0,1,4.110873864173311,11.300919658066475,0.0,3,2
3000,0,3,9.0,3,0,1,1,0,0,0,4.290459441148391,12.21045303758915,0.0,0,1
3001,3,3,9.0,2,12,1,1,1,0,0,3.1780538303479458,12.874793927928293,0.0,2,1
3002,3,4,14.0,0,3,4,1,0,0,0,3.828641396489095,12.199923779943294,5.780743515792329,3,1
3003,3,6,15.0,2,8,1,1,1,0,1,3.4965075614664802,11.956206453762617,0.0,2,1
3004,3,3,9.0,2,10,1,1,1,0,0,3.1780538303479458,11.735836989368275,0.0,2,1
3005,3,3,9.0,1,2,0,1,1,0,0,3.970291913552122,12.132673652760392,0.0,2,1
3006,3,5,10.0,0,10,1,2,0,0,0,3.713572066704308,11.488960587516397,0.0,2,1
3007,3,6,16.0,1,8,0,1,1,15024,1,3.9889840465642745,11.504742072162209,0.0,3,1
3008,5,2,13.0,0,3,1,1,0,0,0,3.713572066704308,11.871501600498368,0.0,2,1
3009,3,3,9.0,1,5,0,1,1,0,0,3.4657359027997265,11.678126294955765,0.0,3,1
3010,3,5,10.0,2,12,3,1,1,0,0,2.9444389791664403,12.749599701116013,0.0,2,1
3011,4,4,14.0,1,8,0,2,1,0,1,3.5553480614894135,11.284593476966894,0.0,2,2
3012,3,2,13.0,1,10,0,1,1,0,1,3.5263605246161616,11.578347970278639,0.0,3,1
3013,3,3,9.0,2,10,3,1,1,0,0,3.1354942159291497,11.714608375242802,0.0,2,1
3014,2,3,9.0,2,5,4,2,1,0,0,3.367295829986474,11.319255760832673,7.372118028337787,3,1
3015,3,3,9.0,2,2,3,1,1,10520,1,3.8066624897703196,11.123077767757142,0.0,3,1
3016,3,3,9.0,1,8,5,1,0,0,0,3.8066624897703196,11.380342194164701,0.0,0,1
3017,3,4,14.0,3,8,1,1,1,0,0,3.8918202981106265,12.103663326360447,0.0,2,1
3018,3,3,9.0,1,2,0,1,1,0,0,3.2188758248682006,12.347103347906247,0.0,2,1
3020,2,2,13.0,0,8,4,1,0,0,0,3.713572066704308,12.087283478893724,0.0,2,1
3021,3,7,3.0,1,6,0,1,1,3464,0,3.4011973816621555,11.92504173829169,0.0,2,0
3022,3,5,10.0,2,8,3,1,1,0,0,3.044522437723423,11.826808767574002,0.0,0,1
3023,3,5,10.0,0,3,1,1,0,0,0,3.4657359027997265,12.371002167214556,0.0,3,1
3024,3,0,12.0,1,2,1,2,1,0,1,3.4339872044851463,11.803877186289633,0.0,3,1
3025,3,5,10.0,2,8,1,1,0,0,0,3.044522437723423,11.67509533355333,0.0,2,1
3026,3,5,10.0,0,6,3,1,1,0,0,4.007333185232471,12.012833710443367,0.0,2,1
3027,5,2,13.0,1,10,0,1,1,0,0,3.784189633918261,12.027424334102516,0.0,2,1
3028,3,1,11.0,1,1,5,0,0,0,1,3.6109179126442243,12.085513886114452,0.0,3,1
3029,0,5,10.0,1,0,0,1,1,0,0,3.9512437185814275,11.565783534458406,0.0,0,1
3030,3,3,9.0,0,7,1,0,0,0,0,3.8501476017100584,12.288394292908398,0.0,0,1
3031,3,7,5.0,1,2,0,1,1,0,0,3.871201010907891,11.65948166531744,0.0,3,1
3032,1,5,10.0,1,1,2,1,0,0,0,3.1354942159291497,12.749541629781168,0.0,2,1
3033,1,3,9.0,1,12,0,1,1,0,0,4.060443010546419,12.675241551491343,0.0,4,1
3035,0,5,10.0,2,0,3,1,1,0,0,2.9444389791664403,11.831946307977685,0.0,1,1
3036,3,4,14.0,0,10,1,1,1,27828,1,3.8501476017100584,12.360984464189194,0.0,4,1
3037,3,5,10.0,1,12,0,1,1,0,0,3.8918202981106265,10.447148159395692,0.0,2,1
3038,3,5,10.0,2,2,1,1,0,0,0,3.367295829986474,12.44217980499624,0.0,2,1
3040,3,5,10.0,2,2,3,1,1,0,0,3.091042453358316,12.695676675743371,0.0,2,1
3042,1,5,10.0,2,8,4,1,0,0,0,3.970291913552122,12.08510203495051,0.0,2,1
3043,5,3,9.0,3,2,1,1,1,0,0,3.367295829986474,11.6142448261515,0.0,2,1
3044,2,2,13.0,0,1,4,1,0,0,0,3.970291913552122,12.00944930402536,0.0,2,2
3045,3,3,9.0,1,6,5,2,0,0,0,3.9512437185814275,11.75176912208851,0.0,2,2
3047,3,3,9.0,3,10,4,0,0,0,0,3.6635616461296463,11.847274019602882,0.0,1,2
3048,3,3,9.0,0,2,4,1,0,0,0,3.6109179126442243,12.79144250341665,0.0,3,1
3049,3,6,15.0,0,8,1,1,1,14084,1,3.6109179126442243,11.321474360388509,0.0,2,1
3050,3,3,9.0,2,1,1,1,0,0,0,3.2188758248682006,12.135081349951887,0.0,3,1
3051,3,5,10.0,2,8,1,1,0,0,0,3.2188758248682006,12.440164049808878,0.0,0,1
3052,3,3,9.0,0,2,1,1,1,0,0,4.07753744390572,11.379508351529877,0.0,2,1
3053,3,5,10.0,1,10,0,1,1,0,1,3.784189633918261,12.78884397686839,0.0,3,1
3055,3,3,9.0,3,3,1,1,0,0,0,4.189654742026425,12.504935726883703,0.0,1,1
3056,2,5,10.0,1,9,0,1,1,0,0,3.4965075614664802,12.448763889686752,0.0,3,1
3057,3,7,8.0,2,10,1,1,1,0,0,3.1780538303479458,12.210159283837323,0.0,2,1
3058,3,5,10.0,2,1,3,1,0,0,0,3.044522437723423,12.926513929914664,0.0,2,1
3059,3,0,12.0,2,1,1,0,0,0,0,3.7612001156935624,12.54761060113243,0.0,3,1
3060,5,7,4.0,1,4,0,1,1,0,0,4.2626798770413155,12.055517161899857,0.0,3,1
3061,3,5,10.0,1,6,0,2,1,0,1,3.58351893845611,12.135521417579138,0.0,3,1
3062,3,3,9.0,3,8,4,1,0,0,0,3.8918202981106265,12.037902483739114,6.439350371100098,2,2
3063,3,5,10.0,1,12,0,1,1,0,0,3.4965075614664802,12.674268391539393,0.0,4,2
3065,3,4,14.0,1,3,0,1,1,0,1,3.828641396489095,12.49882434567607,0.0,3,2
3066,3,7,6.0,3,13,1,0,0,0,0,4.07753744390572,11.93148447258955,0.0,2,1
3067,3,5,10.0,2,2,1,1,1,0,0,3.1780538303479458,12.207546558786174,0.0,2,1
3068,3,3,9.0,1,10,2,1,0,0,0,2.9444389791664403,12.586527590634171,0.0,1,1
3069,3,2,13.0,1,3,0,1,1,0,1,3.6635616461296463,12.030098898692355,0.0,2,1
3070,0,7,4.0,1,0,0,1,1,0,0,4.219507705176107,12.189851796002623,0.0,2,1
3071,3,3,9.0,2,6,1,1,1,0,0,3.044522437723423,12.188249757256834,0.0,2,1
3072,3,3,9.0,1,2,0,1,1,0,0,3.258096538021482,11.68264292278116,0.0,4,1
3073,3,7,8.0,0,10,1,1,0,0,0,3.6635616461296463,11.214020652495966,0.0,2,1
3074,3,3,9.0,1,2,0,1,1,0,0,3.8066624897703196,12.70711153506034,0.0,2,1
3075,6,7,3.0,1,7,0,1,1,0,0,3.58351893845611,12.953412039548546,0.0,2,0
3076,3,3,9.0,2,7,1,1,0,0,0,3.4011973816621555,11.979435498711664,0.0,2,2
3077,3,3,9.0,1,3,0,1,1,0,1,4.060443010546419,12.386404724625118,0.0,3,1
3078,1,0,12.0,1,1,0,1,1,0,0,3.970291913552122,11.677142451952017,0.0,2,1
3079,2,3,9.0,0,1,4,1,0,0,0,4.04305126783455,12.499682116196745,0.0,4,1
3080,3,3,9.0,2,7,3,0,0,0,0,3.295836866004329,12.421095311534764,0.0,2,1
3081,3,6,16.0,2,8,1,1,1,0,0,4.007333185232471,11.119141861635901,0.0,2,2
3082,6,7,8.0,2,1,1,0,0,0,0,3.5263605246161616,11.02566987271667,0.0,2,1
3083,2,6,15.0,1,8,0,0,1,0,1,3.6375861597263857,11.992031293229756,0.0,2,1
3084,3,3,9.0,2,12,3,1,0,0,0,3.295836866004329,11.271223262300833,0.0,0,1
3085,2,2,13.0,2,2,3,1,1,0,0,3.2188758248682006,12.164839108004378,0.0,1,1
3086,0,7,5.0,1,0,0,1,1,0,0,4.1588830833596715,10.73241048027168,0.0,3,1
3087,3,7,7.0,1,10,0,1,1,0,0,4.143134726391533,12.615224283362968,0.0,1,1
3088,5,7,4.0,1,4,0,1,1,6418,1,4.290459441148391,11.537715633777447,0.0,6,1
3089,5,7,7.0,1,2,0,1,1,0,0,3.5553480614894135,12.762170825358622,0.0,2,1
3090,3,5,10.0,2,1,3,1,0,0,0,3.044522437723423,11.40746494431207,0.0,2,1
3092,3,5,10.0,1,8,0,1,1,0,0,4.110873864173311,11.780537474368076,0.0,2,1
3093,6,3,9.0,2,7,1,0,0,0,0,3.828641396489095,12.650806542559037,0.0,2,1
3094,3,2,13.0,3,10,4,1,0,0,1,3.871201010907891,11.705634550761687,7.813187267521416,4,1
3095,3,2,13.0,1,3,0,1,1,0,1,3.912023005428146,12.153784119221482,0.0,2,1
3096,3,3,9.0,1,6,0,1,1,0,0,3.6375861597263857,12.387372847585572,0.0,2,1
3097,3,7,8.0,2,1,3,1,0,0,0,2.995732273553991,12.189323152672058,0.0,2,1
3098,3,3,9.0,1,2,0,1,1,0,0,3.828641396489095,12.04178155845304,0.0,2,1
3099,3,3,9.0,1,1,5,0,0,0,0,3.1780538303479458,10.855126123041925,0.0,2,1
3100,3,5,10.0,2,2,1,2,1,0,0,3.7376696182833684,11.13792651432262,0.0,2,1
3101,3,2,13.0,1,2,0,2,1,0,1,3.713572066704308,12.038269189249128,0.0,2,2
3102,3,3,9.0,3,7,4,1,0,0,0,4.143134726391533,12.189562093403184,0.0,1,1
3103,3,3,9.0,1,1,5,1,0,0,0,4.04305126783455,10.75147803015149,0.0,2,1
3105,3,3,9.0,2,4,3,1,1,0,0,3.4657359027997265,12.423536095569183,0.0,2,1
3106,3,5,10.0,0,1,4,1,0,0,0,3.9318256327243257,12.66790548460058,0.0,2,1
3107,3,2,13.0,1,10,0,1,1,7298,1,3.6635616461296463,11.542027852390762,0.0,3,1
3108,3,3,9.0,3,7,2,0,1,0,0,3.6635616461296463,12.03912628233757,0.0,2,1
3109,3,4,14.0,1,3,0,1,1,0,1,3.6888794541139363,11.89491721689275,0.0,2,1
3110,3,1,11.0,1,2,0,1,1,0,1,3.6635616461296463,11.553001581392563,0.0,3,1
3111,3,5,10.0,1,8,0,1,1,0,0,3.871201010907891,12.136395611485957,0.0,2,1
3112,1,5,10.0,2,1,3,1,0,0,0,2.9444389791664403,12.28252892966829,0.0,0,1
3113,6,5,10.0,2,7,3,0,0,0,0,3.828641396489095,12.607482877060114,0.0,2,1
3114,1,5,10.0,0,9,3,1,1,0,0,3.5263605246161616,12.316123643655997,0.0,5,1
3115,3,3,9.0,1,6,0,1,1,0,0,3.367295829986474,10.913851335650172,0.0,2,1
3116,5,3,9.0,1,8,0,1,1,0,1,3.6375861597263857,12.273768676482826,0.0,3,1
3117,1,0,12.0,1,7,0,1,1,7298,1,3.9512437185814275,12.581408388656826,0.0,2,1
3118,0,5,10.0,2,0,3,1,0,0,0,2.9444389791664403,12.262230837092334,0.0,2,1
3119,3,3,9.0,1,2,0,1,1,0,0,3.9889840465642745,11.957630516815994,0.0,2,1
3120,2,5,10.0,1,9,0,1,1,0,0,3.4657359027997265,11.64253166409219,0.0,6,1
3121,3,7,5.0,2,6,3,1,1,0,0,2.8903717578961645,11.28279506235645,0.0,2,0
3122,3,7,7.0,1,4,0,1,1,0,0,3.5553480614894135,11.496684288173647,0.0,2,1
3123,3,2,13.0,2,3,1,1,1,27828,1,3.58351893845611,12.706787325545436,0.0,2,1
3124,6,4,14.0,1,8,0,1,1,0,1,4.219507705176107,12.21947739902881,7.774015077250727,2,2
3125,3,3,9.0,1,7,0,1,1,0,0,4.0943445622221,11.794556768384853,0.0,2,1
3126,3,3,9.0,1,10,0,1,1,0,0,4.204692619390966,12.103702099898067,0.0,0,1
3127,3,5,10.0,1,4,0,1,1,0,0,3.828641396489095,12.077813046834748,0.0,2,1
3128,3,3,9.0,1,2,0,1,1,0,0,3.258096538021482,12.406950137790211,0.0,3,1
3129,3,5,10.0,2,1,4,0,0,0,0,3.295836866004329,10.543576724621428,0.0,2,1
3130,3,3,9.0,0,10,1,1,1,0,0,3.912023005428146,12.064681877338185,0.0,4,1
3131,3,5,10.0,2,3,3,1,1,0,0,3.1354942159291497,11.933791369654417,0.0,2,1
3132,3,2,13.0,1,3,0,1,1,0,1,3.4965075614664802,11.620550414860553,0.0,2,1
3133,3,3,9.0,1,6,0,1,1,0,0,3.258096538021482,10.576738101381618,0.0,3,1
3134,2,5,10.0,2,9,3,1,1,0,0,3.1780538303479458,12.214358225116946,0.0,2,1
3136,3,5,10.0,2,4,1,1,1,0,0,3.912023005428146,12.107019971321893,0.0,2,1
3137,3,3,9.0,0,6,1,0,0,0,0,3.8918202981106265,11.907653132535652,0.0,2,1
3139,3,3,9.0,0,2,4,1,1,0,0,3.7612001156935624,12.421562985590603,0.0,2,1
3140,3,3,9.0,3,10,1,1,0,0,0,3.970291913552122,11.993442385389113,0.0,2,1
3141,3,3,9.0,2,10,3,1,1,0,0,3.1780538303479458,12.154858295394865,0.0,2,1
